YearStart,YearEnd,LocationDesc,DataSource,Topic,Question,DataValueUnit_x,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,QuestionID,DataValueTypeID,RaceEthnicity
2017,2017,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.2,1.2,0.7,1.8,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2016,2016,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.3,1.3,0.8,1.8,MTH1_0,MEAN,"Other, non-Hispanic"
2014,2014,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.4,1.4,0.7,2.1,MTH1_0,MEAN,"White, non-Hispanic"
2017,2017,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.5,1.5,0.8,2.1,MTH1_0,MEAN,"Other, non-Hispanic"
2018,2018,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.6,1.6,0.9,2.4,MTH1_0,MEAN,"White, non-Hispanic"
2014,2014,New Jersey,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.7,1.7,1.2,2.2,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2015,2015,Maryland,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.8,1.8,1.1,2.5,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2011,2011,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.9,1.9,1.6,2.2,MTH1_0,MEAN,"Other, non-Hispanic"
2011,2011,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.0,2.0,1.6,2.3,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2011,2011,New Jersey,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.1,2.1,1.5,2.7,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
